21900001,2149,5,0.417,1,0.25,0,0.0,3,4,0,0,2,1,3,11,12.0,2288,11,0.423,2,0.4,10,0.909,6,12,5,0,1,4,6,34,5.0,1915,2,0.222,1,0.25,1,1.0,1,3,1,0,0,0,5,6,-2.0,2700,4,0.267,3,0.273,11,0.846,1,4,6,2,0,4,4,22,-1.0,2660,12,0.667,5,0.714,5,0.833,0,5,7,2,0,2,0,34,18.0,1560,4,0.4,0,0.0,5,0.833,2,3,0,1,0,3,2,13,6.0,1719,2,0.286,1,0.2,0,0.0,1,7,2,0,0,2,2,5,2.0,910,2,0.333,1,0.333,0,0.0,2,3,2,2,0,0,2,5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2465,6,0.4,1,0.167,0,0.0,2,2,6,0,2,5,2,13,-14.0,2106,8,0.421,2,0.4,4,1.0,0,5,5,1,2,2,4,22,-19.0,1245,3,0.5,0,0.0,0,0.0,1,6,2,0,1,1,5,6,-12.0,1622,6,0.667,4,0.667,0,0.0,0,2,1,0,0,3,3,16,-14.0,1490,2,0.286,2,0.667,2,1.0,0,5,5,0,0,1,2,8,-7.0,1690,4,0.444,3,0.6,4,1.0,4,6,1,0,1,1,4,15,-1.0,749,3,1.0,0,0.0,2,0.667,2,0,0,0,1,1,3,8,-7.0,726,2,0.286,1,0.333,0,0.0,1,2,2,0,0,0,0,5,-1.0,715,1,0.1,1,0.143,0,0.0,1,3,2,2,0,1,2,3,6.0,1083,0,0.0,0,0.0,3,1.0,3,3,3,1,2,1,5,3,11.0,1177,5,0.714,4,0.8,0,0.0,2,3,2,0,0,2,1,14,11.0,832,3,0.5,1,0.333,2,1.0,0,0,1,0,0,1,3,9,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
21900002,1893,10,0.526,1,0.2,9,0.9,1,5,5,2,1,6,5,30,5.0,1049,1,0.333,1,0.333,1,0.5,1,2,0,0,0,0,2,4,-2.0,578,4,1.0,0,0.0,0,0.0,1,0,0,0,0,0,2,8,-5.0,1587,3,0.375,2,0.5,0,0.0,0,3,2,0,0,0,1,8,-1.0,1881,1,0.143,0,0.0,0,0.0,2,8,6,0,1,2,4,2,13.0,2302,7,0.636,0,0.0,3,0.375,2,5,4,1,1,3,3,17,15.0,2203,8,0.571,1,0.25,4,1.0,1,4,7,1,0,2,0,21,13.0,1157,4,0.5,4,0.571,0,0.0,1,5,0,0,0,1,3,12,5.0,1750,4,0.571,2,0.667,0,0.0,2,2,0,4,2,0,5,10,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2241,8,0.381,0,0.0,9,0.643,3,6,5,1,2,3,3,25,3.0,2160,7,0.368,1,0.2,3,0.75,1,9,8,1,1,5,3,18,-8.0,1041,2,0.667,0,0.0,0,0.0,1,1,0,0,2,1,0,4,0.0,1939,10,0.714,7,0.778,1,1.0,1,6,0,2,1,0,3,28,7.0,1442,3,0.429,2,0.4,0,0.0,0,3,0,0,0,2,3,8,-1.0,1644,0,0.0,0,0.0,0,0.0,0,3,3,0,0,1,5,0,-8.0,1142,1,0.333,0,0.0,1,1.0,3,3,1,0,1,0,4,3,-1.0,974,2,0.333,1,0.2,1,1.0,0,0,1,0,0,1,1,6,-13.0,1016,2,0.286,0,0.0,0,0.0,0,1,2,0,0,1,0,4,-9.0,801,2,1.0,2,1.0,0,0.0,0,0,0,0,0,0,2,6,-20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
21900003,1902,4,0.571,0,0.0,0,0.0,0,5,3,0,3,3,0,8,2.0,2257,9,0.529,7,0.636,2,1.0,1,3,1,1,1,4,2,27,8.0,2106,6,0.545,0,0.0,3,0.75,4,8,1,0,0,1,4,15,3.0,1986,8,0.381,2,0.25,4,0.667,1,4,3,2,0,2,2,22,-3.0,1825,2,0.2,2,0.333,1,1.0,1,3,6,0,0,4,1,7,-18.0,1639,7,0.778,6,0.857,3,1.0,1,3,8,0,0,1,3,23,14.0,1013,6,0.667,5,0.714,0,0.0,0,2,1,0,0,0,1,17,1.0,672,0,0.0,0,0.0,0,0.0,1,3,2,0,0,2,2,0,1.0,1001,3,0.75,1,1.0,0,0.0,0,1,3,0,0,2,3,7,-3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1663,3,0.3,1,0.2,2,1.0,0,2,1,2,1,0,2,9,14.0,2062,13,0.52,1,0.143,8,0.8,5,12,2,1,0,1,1,35,-8.0,1764,5,0.455,0,0.0,2,1.0,5,4,0,0,1,1,4,12,2.0,1800,7,0.412,1,0.25,1,1.0,3,3,7,2,1,5,3,16,-8.0,1462,1,0.2,0,0.0,0,0.0,0,0,3,0,1,0,2,2,4.0,410,0,0.0,0,0.0,0,0.0,2,2,0,0,0,1,1,0,-8.0,1629,6,0.462,1,0.25,4,0.8,0,3,7,0,0,1,2,17,6.0,1524,7,0.636,3,0.6,0,0.0,1,2,2,1,0,1,1,17,12.0,1431,5,0.714,0,0.0,1,0.5,1,1,2,4,0,0,3,11,-8.0,656,2,0.667,2,1.0,0,0.0,3,0,1,1,0,0,1,6,-11.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
21900004,2012,5,0.417,0,0.0,0,0.0,1,0,0,0,1,1,3,10,4.0,2141,11,0.733,0,0.0,5,1.0,5,8,2,0,0,2,5,27,3.0,2285,9,0.6,4,0.571,3,1.0,2,7,0,2,3,4,3,25,-4.0,1552,4,0.364,0,0.0,2,0.667,1,3,3,1,0,2,4,10,-6.0,2151,5,0.385,2,0.5,10,0.909,0,3,11,0,1,2,2,22,-4.0,1313,3,0.5,0,0.0,0,0.0,1,0,2,3,0,1,4,6,-23.0,875,0,0.0,0,0.0,0,0.0,0,0,2,1,0,0,3,0,-8.0,404,0,0.0,0,0.0,0,0.0,0,1,2,1,0,1,2,0,-1.0,660,2,0.5,2,0.667,0,0.0,0,0,1,0,0,1,0,6,-4.0,202,0,0.0,0,0.0,0,0.0,0,1,0,0,0,0,0,0,0.0,805,2,0.5,0,0.0,0,0.0,0,3,3,0,1,1,2,4,-2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1913,4,0.571,2,0.5,0,0.0,0,2,2,0,0,1,4,10,11.0,1356,3,0.273,1,0.25,1,0.5,0,3,2,1,0,2,1,8,-3.0,2448,12,0.667,0,0.0,8,0.8,7,16,2,3,4,2,4,32,4.0,1729,3,0.5,0,0.0,1,0.5,1,3,4,0,0,3,3,7,5.0,1221,2,0.667,1,0.5,0,0.0,0,1,5,0,0,1,1,5,2.0,1684,8,0.615,6,0.667,8,0.8,0,3,2,0,0,1,3,30,12.0,1595,6,0.545,0,0.0,6,0.857,1,2,9,0,0,4,1,18,5.0,959,1,0.25,0,0.0,2,1.0,0,2,0,0,1,0,3,4,-3.0,1201,2,0.5,1,1.0,0,0.0,1,3,0,1,1,3,1,5,11.0,230,0,0.0,0,0.0,0,0.0,0,0,0,0,0,1,0,0,-1.0,64,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21900005,1439,1,0.333,0,0.0,1,0.5,1,7,2,1,2,2,4,3,0.0,1733,2,0.25,1,0.5,4,0.667,0,2,3,2,1,1,4,9,1.0,2053,8,0.5,1,0.2,4,0.8,1,9,3,1,0,1,0,21,2.0,1686,7,0.538,2,0.5,0,0.0,1,2,4,1,1,3,3,16,-10.0,1474,4,0.444,1,0.5,0,0.0,0,3,5,0,0,0,0,9,6.0,1406,6,0.5,0,0.0,0,0.0,0,0,6,2,0,3,1,12,3.0,1746,1,0.2,1,0.5,2,0.5,2,5,0,1,0,1,2,5,14.0,827,3,0.6,1,0.333,0,0.0,1,6,1,1,0,0,1,7,7.0,1168,4,0.308,2,0.286,0,0.0,0,4,0,2,0,1,1,10,17.0,868,1,0.5,0,0.0,0,0.0,1,1,0,1,0,1,2,2,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1739,5,0.556,3,0.5,0,0.0,0,3,2,2,0,2,1,13,6.0,2157,4,0.444,0,0.0,3,0.75,1,17,3,1,0,2,2,11,-15.0,1995,8,0.727,0,0.0,0,0.0,2,9,1,0,1,1,2,16,0.0,1892,3,0.333,2,0.5,0,0.0,1,1,5,1,0,3,0,8,-7.0,1794,5,0.333,3,0.375,3,0.75,1,1,2,0,0,3,1,16,-4.0,1608,4,0.364,1,0.2,0,0.0,4,10,2,0,1,4,5,9,-3.0,1086,2,0.333,0,0.0,1,0.5,0,1,3,1,0,0,2,5,-5.0,1099,2,0.167,0,0.0,3,1.0,1,1,0,2,0,1,0,7,-12.0,1030,0,0.0,0,0.0,0,0.0,0,1,2,1,0,0,2,0,-5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
21900006,2359,5,0.556,4,0.667,0,0.0,0,4,2,0,1,2,3,14,1.0,2475,6,0.462,2,0.4,1,0.5,3,8,2,2,1,0,2,15,19.0,2182,3,0.5,0,0.0,0,0.0,3,6,1,1,5,0,4,6,11.0,2238,9,0.474,1,0.25,1,0.25,0,5,4,3,0,5,3,20,9.0,2290,17,0.515,7,0.5,9,0.9,2,6,7,0,1,0,4,50,18.0,784,0,0.0,0,0.0,1,0.5,0,3,0,0,1,1,2,1,-13.0,998,0,0.0,0,0.0,2,1.0,1,2,1,0,0,1,4,2,-12.0,1022,2,0.333,0,0.0,0,0.0,0,0,0,2,0,1,2,4,-15.0,1113,6,0.462,1,0.333,1,0.5,1,2,2,0,0,5,4,14,-7.0,439,0,0.0,0,0.0,0,0.0,0,2,0,0,0,1,2,0,-16.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2074,4,0.308,0,0.0,1,1.0,2,4,4,1,0,0,2,9,-5.0,1962,6,0.545,3,0.5,0,0.0,2,7,0,0,0,2,4,15,-11.0,2321,11,0.5,7,0.636,7,0.875,1,13,3,3,3,3,5,36,-1.0,2173,10,0.37,0,0.0,1,0.5,5,3,0,0,0,1,4,21,-26.0,2073,5,0.625,0,0.0,4,1.0,0,3,4,1,0,3,4,14,-7.0,863,1,0.333,0,0.0,0,0.0,0,4,1,2,0,1,1,2,2.0,1259,1,0.143,0,0.0,3,0.6,0,1,7,0,0,1,1,5,17.0,946,2,0.4,0,0.0,0,0.0,1,1,0,1,0,2,0,4,6.0,867,2,0.4,1,0.25,6,0.75,1,2,3,1,0,0,0,11,22.0,1363,4,0.571,2,0.5,0,0.0,0,2,1,0,1,0,1,10,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21900007,2218,10,0.476,1,0.5,6,0.667,2,5,7,1,1,3,2,27,22.0,1443,3,0.429,0,0.0,8,0.8,4,7,3,1,0,5,3,14,10.0,1121,0,0.0,0,0.0,0,0.0,0,3,0,1,0,0,4,0,-6.0,2034,6,0.429,1,0.5,1,1.0,0,8,1,2,0,1,2,14,10.0,1591,10,0.556,1,0.5,3,1.0,0,2,3,2,0,1,5,24,27.0,1507,4,0.444,2,0.5,9,0.9,0,3,3,1,2,4,1,19,0.0,954,2,0.667,0,0.0,0,0.0,1,0,0,0,0,1,5,4,4.0,1333,1,0.333,1,1.0,4,1.0,1,7,0,1,2,2,4,7,21.0,1376,1,0.2,1,0.2,0,0.0,0,1,1,0,0,1,2,3,-3.0,684,3,1.0,0,0.0,2,1.0,3,3,0,0,3,2,5,8,18.0,70,0,0.0,0,0.0,0,0.0,0,1,0,0,0,1,0,0,-4.0,70,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,-4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1817,3,0.273,2,0.222,5,0.833,2,3,2,1,0,1,1,13,-9.0,1796,5,0.417,0,0.0,7,0.778,1,2,0,1,2,3,5,17,-11.0,969,3,0.429,0,0.0,1,0.5,0,1,1,1,1,3,5,7,-19.0,1090,3,0.429,1,0.5,0,0.0,0,5,1,1,1,2,5,7,-16.0,1509,6,0.5,0,0.0,2,0.5,0,4,4,1,1,6,4,14,-29.0,1383,3,0.5,1,1.0,1,1.0,2,5,1,0,1,0,1,8,6.0,1443,6,0.5,0,0.0,3,0.6,0,1,7,2,0,2,4,15,6.0,1446,4,0.5,0,0.0,1,1.0,0,2,2,0,0,3,1,9,6.0,1249,2,0.333,1,0.2,0,0.0,0,1,2,0,0,2,3,5,-17.0,1250,2,0.5,0,0.0,0,0.0,3,5,0,1,0,1,2,4,-7.0,284,1,0.25,0,0.0,0,0.0,1,2,0,0,1,1,0,2,-3.0,165,0,0.0,0,0.0,0,0.0,0,0,2,1,0,0,0,0,-2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
21900008,2257,6,0.545,2,0.4,1,0.5,1,14,4,2,0,4,3,15,16.0,1871,5,0.385,1,0.167,5,0.833,1,1,3,1,0,1,5,16,6.0,1395,5,0.357,1,0.25,4,0.5,4,9,3,0,3,0,5,15,16.0,1986,4,0.333,0,0.0,9,1.0,2,4,2,1,2,2,4,17,22.0,2099,11,0.688,0,0.0,2,0.4,2,6,9,0,0,4,4,24,15.0,1017,0,0.0,0,0.0,3,0.75,1,5,0,0,0,3,5,3,-12.0,1301,1,0.2,1,0.333,0,0.0,0,1,1,2,2,1,5,3,5.0,1142,1,0.5,1,1.0,0,0.0,0,4,0,0,0,0,1,3,3.0,977,2,0.286,0,0.0,2,1.0,1,5,1,0,0,0,2,6,3.0,223,2,1.0,1,1.0,0,0.0,0,1,0,0,0,0,0,5,-2.0,66,0,0.0,0,0.0,0,0.0,0,0,1,0,0,0,0,0,-1.0,66,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2111,8,0.533,0,0.0,9,0.818,0,5,2,0,0,1,4,25,-11.0,2233,8,0.364,4,0.5,1,0.333,1,9,2,2,0,4,2,21,-4.0,1498,5,0.625,0,0.0,2,0.286,3,3,2,0,0,0,3,12,-12.0,1252,3,0.5,1,0.5,1,0.333,0,7,0,1,0,1,5,8,-12.0,2055,4,0.222,1,0.167,3,0.75,2,0,2,0,0,3,4,12,-16.0,1981,2,0.286,0,0.0,0,0.0,1,3,8,0,0,1,4,4,-13.0,592,0,0.0,0,0.0,3,0.75,1,0,0,0,1,0,1,3,-7.0,585,0,0.0,0,0.0,0,0.0,0,1,0,0,0,0,0,0,-1.0,685,1,0.2,1,0.333,0,0.0,1,0,0,0,0,0,0,3,-1.0,432,0,0.0,0,0.0,0,0.0,0,1,0,0,0,0,2,0,0.0,330,0,0.0,0,0.0,0,0.0,0,0,1,0,0,0,0,0,0.0,646,2,0.5,0,0.0,1,0.5,1,2,1,1,1,0,4,5,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
21900009,963,2,0.4,0,0.0,0,0.0,0,1,0,0,0,0,2,4,-4.0,1751,7,0.438,3,0.429,6,0.857,0,4,2,1,1,4,2,23,3.0,1414,0,0.0,0,0.0,0,0.0,1,7,1,0,3,3,4,0,-3.0,1288,1,0.5,1,1.0,2,1.0,0,4,3,1,0,0,1,5,1.0,2011,12,0.632,4,0.444,6,0.75,1,8,3,2,0,6,4,34,0.0,1284,2,0.286,0,0.0,0,0.0,0,1,1,0,0,0,4,4,2.0,1932,1,0.25,1,0.333,7,0.875,2,6,1,0,1,0,0,10,18.0,1460,3,0.3,1,0.333,2,0.5,1,3,3,2,0,4,3,9,2.0,1179,3,0.5,1,0.5,2,1.0,0,3,1,0,0,2,1,9,11.0,1118,4,0.667,0,0.0,2,1.0,0,4,2,0,0,0,1,10,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1374,4,0.8,1,0.5,0,0.0,1,2,2,1,1,1,4,9,0.0,1491,7,0.467,0,0.0,0,0.0,4,6,0,0,0,0,2,14,2.0,1845,4,0.444,0,0.0,6,1.0,4,7,3,0,0,3,0,14,-16.0,1905,7,0.28,1,0.091,4,0.667,0,6,9,3,0,2,4,19,1.0,1455,3,0.333,1,0.25,0,0.0,1,2,4,0,1,2,4,7,-4.0,1727,2,0.25,2,0.333,1,1.0,0,4,0,1,0,1,5,7,-17.0,974,0,0.0,0,0.0,0,0.0,0,0,1,0,0,0,1,0,-7.0,1388,4,0.444,1,0.333,2,1.0,0,5,3,0,0,1,2,11,-7.0,998,4,0.8,3,0.75,2,1.0,1,1,0,0,0,5,6,13,5.0,1169,2,0.4,2,0.667,0,0.0,0,3,3,1,1,2,4,6,-3.0,37,0,0.0,0,0.0,0,0.0,0,0,1,0,0,0,0,0,3.0,37,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
21900010,1898,3,0.3,0,0.0,7,0.636,0,4,4,0,1,4,3,13,2.0,2118,8,0.533,1,1.0,5,1.0,4,4,1,0,2,4,1,22,-3.0,1457,3,0.75,0,0.0,2,1.0,1,10,0,0,0,1,4,8,9.0,1951,7,0.583,3,0.5,3,1.0,0,5,1,0,0,0,2,20,4.0,1427,7,0.7,1,1.0,3,1.0,0,8,6,3,0,4,1,18,9.0,1330,3,0.5,0,0.0,3,0.6,1,1,3,0,0,2,2,9,2.0,1218,4,0.444,0,0.0,5,1.0,1,5,3,1,1,3,1,13,3.0,967,3,0.75,0,0.0,0,0.0,2,2,1,0,1,0,2,6,9.0,1066,1,0.5,0,0.0,1,0.5,0,1,1,0,0,1,0,3,2.0,968,3,0.273,2,0.333,0,0.0,1,1,2,2,0,2,2,8,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2124,10,0.556,1,0.25,4,0.667,1,10,6,3,0,1,4,25,6.0,2355,9,0.5,3,0.429,5,1.0,0,4,1,3,0,1,5,26,-15.0,1985,4,0.4,0,0.0,0,0.0,2,5,5,2,0,1,3,8,-5.0,411,0,0.0,0,0.0,0,0.0,0,0,0,0,0,1,0,0,-6.0,2227,9,0.692,1,0.333,2,0.5,0,5,2,2,0,3,3,21,-2.0,620,1,0.25,0,0.0,0,0.0,0,0,1,0,0,0,3,2,-3.0,895,1,0.2,0,0.0,0,0.0,2,2,0,0,0,2,2,2,-4.0,1270,5,0.556,3,0.75,0,0.0,0,5,0,0,0,1,5,13,-11.0,776,1,0.25,1,0.25,0,0.0,0,1,1,0,1,2,1,3,-13.0,1563,4,0.444,1,0.5,2,1.0,0,2,8,5,0,0,5,11,14.0,174,0,0.0,0,0.0,0,0.0,0,0,0,1,0,2,1,0,-6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
